selection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,9978946,27272.46030096803,1.0,1.0
nEvTau3Mu,992983,2713.8226268622093,0.09950780372997309,0.09950780372997309
nTriggerBit,711823,1945.4123219843023,0.07133248341057262,0.07133248341057262
nEvTauMediumID,506826,1385.1555028455332,0.050789532281264975,0.050789532281264975
nEvTriggerFired_Total,499730,1365.7621342176571,0.05007843513733815,0.05007843513733815
nEvDiMuResVeto,482373,1318.325451681856,0.04833907308447205,0.04833907308447205
nEvReinforcedHLT,476049,1301.041959122289,0.04770533882035237,0.04770533882035237
LxyS,78013,213.2095359028317,0.007817759510874194,0.007817759510874194
mass_range,23631,64.58352509094402,0.0023680857677754745,0.0023680857677754745
BDT,5679,15.520707502495497,0.0005690981793067124,0.0005690981793067124
phi_veto,5177,14.148741458076984,0.0005187922652352263,0.0005187922652352263
